company,company_type,title,link,sectors,work_place,career,education,salary,deadline,reg_info,reg_days_ago,posting_period_days
국립암센터,일반기업,업무직 채용공고[260615] (병동지원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54188791,"병동보호사, 환자안내, 환자이송, 암센터, 소독",경기 고양시 일산동구,경력무관 · 계약직,학력무관,면접 후 협의,~06.30(화),4일 전 등록,4,13
(재)예술경영지원센터,일반기업,2026년 제2차 직원(공개경쟁) 채용 공고 (인사관리),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54188544,"사무직, 총무, 사무보조, 사무행정, 인사기획",서울 종로구,경력무관 · 정규직,학력무관,면접 후 협의,D-6,4일 전 등록,4,10
(재)예술경영지원센터,일반기업,2026년 제2차 직원(공개경쟁) 채용 공고 (해외진출 지원사업),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54188541,"사무직, 총무, 사무보조, 사무행정, 공연기획",서울 종로구,경력무관 · 정규직 외,학력무관,면접 후 협의,D-6,4일 전 등록,4,10
(재)예술경영지원센터,일반기업,2026년 제2차 직원(공개경쟁) 채용 공고 (공연시장 정보 분석),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54188543,"데이터분석가, 데이터엔지니어, 사무직, 사무보조, 사무행정",서울 종로구,경력무관 · 계약직,학력무관,면접 후 협의,D-6,4일 전 등록,4,10
(주)더블스윗,일반기업,[디저트 전문] 품질관리팀 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54188529,"생산관리, 품질검사원, QA, QC, ERP",부산 남구 외,신입 · 경력 · 정규직,"대학(2,3년)↑",면접 후 협의,~06.30(화),4일 전 등록,4,13
(주)흥일폴리켐,일반기업,"흥일폴리켐 부문별 정규직 채용 (생산·지게차 물류) - 부산 본사, 양산 공장",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54188491&adsCategoryItem=effect_bold&,"배차관리, 3.5톤, 전동지게차, 지게차, 고분자",부산 강서구 외,신입 · 경력 · 정규직,학력무관,면접 후 협의,~06.30(화),4일 전 등록,4,13
네이버웹툰(유),대기업,[네이버웹툰] 퍼포먼스 마케팅 크리에이티브 기획 (체험형 인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54188431,"마케팅기획, 마케팅전략, 퍼포먼스마케팅, CD(크리에이티브디렉터), 마케팅",경기 성남시 분당구,신입 · 인턴직,학력무관,면접 후 협의,~06.28(일),4일 전 등록,4,11
신라에이치엠(주),대기업,"[신라스테이] 제주/이호테우호텔 분야별 인재 채용 (프론트, 조리, 베이커리)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54188430&adsCategoryItem=effect_bold&,"식품/음료판매, 영업판촉, 호텔영업, 고객관리, 매장관리",제주 제주시 외,신입 · 경력 · 정규직,학력무관,면접 후 협의,~07.15(수),4일 전 등록,4,28
(주)케이비손해사정,대기업,재물(1종) 손해사정사 신입/경력사원 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54188418,"간호사, 금융컨설팅, 손해사정사, 심사역, 금융사무",서울전체 외,신입 · 경력 · 계약직,"대학(2,3년)↑",면접 후 협의,~08.02(일),4일 전 등록,4,46
네이버웹툰(유),대기업,[네이버웹툰] 퍼포먼스 마케팅 크리에이티브 (체험형 인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54188213,"시장조사, 트렌드분석, 마케팅기획, 마케팅전략, 콘텐츠기획",경기 성남시 분당구,신입 · 인턴직,학력무관,면접 후 협의,~06.28(일),4일 전 등록,4,11
