company,company_type,primary_sector,title,title_length,sector_count,posting_period_days,duration_deviation,abs_duration_deviation,is_short_posting,is_long_posting,company_reposting_count,sector_reposting_count,estimated_salary,estimated_welfare_count,has_flexible_work,has_snack_bar,has_incentive,turnover_risk_score,turnover_risk_level,link
네이버(주),일반기업,AI(인공지능),2026 NAVER 하계 인턴십 : 비즈니스 트랙 (영업관리 도구 설계),40,5,7.0,-5.0,5.0,1,0,13,18,3800,3,0,0,0,58.84366327474561,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54175873
(주)씨제이이엔엠,대기업,SNS마케팅,CJ ENM 엔터 부문 - 커머스 사업팀 캐릭터 디자이너 모집,34,4,29.0,17.0,17.0,0,1,1,3,5800,7,0,0,0,14.851063829787234,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54174778
에스케이에코플랜트(주),대기업,시공관리자,SK에코플랜트 2026 하반기 Junior Talent 채용,33,3,12.0,0.0,0.0,0,0,1,1,5800,7,0,0,0,3.9999999999999996,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54174659
하이윈코퍼레이션(주),외국계,전동지게차,[HIWIN] 수원공장/창원공장 인재 모집,23,5,14.0,2.0,2.0,0,1,1,2,4800,5,0,0,0,23.27659574468085,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54174021
에이쓰리,일반기업,기계조작원,[대기업생산직]삼성1차협력 대덕전자 반도체 PCB 부문 생산 신입 대규모 채용 기숙사有,48,5,9.0,-3.0,3.0,1,0,2,14,3800,3,0,0,0,43.21924144310823,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173709
건축공간연구원,일반기업,연구원,위촉직 채용공고(6월-에너지 소비 총량제 운영모델 구축),31,5,13.0,1.0,1.0,0,1,3,14,3800,3,0,0,0,43.246993524514345,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173551
건축공간연구원,일반기업,연구원,위촉직 채용공고(6월-건축물관리지원센터 업무 위탁),28,4,13.0,1.0,1.0,0,1,3,14,3800,3,0,0,0,43.246993524514345,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173366
(주)현대엘앤씨,대기업,사무직,현대L&C 26년 하반기 사무계약직 채용 (영업지원),29,5,14.0,2.0,2.0,0,1,1,67,5800,7,0,0,0,5.27659574468085,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173332
건축공간연구원,일반기업,연구원,위촉직 채용공고(6월-추모시설 조성 및 공동체복합 시설 연계),34,5,13.0,1.0,1.0,0,1,3,14,3800,3,0,0,0,43.246993524514345,Medium,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173190
새항운병원,일반기업,간호사,간호조무사(내시경실) 모집,14,5,,,,0,0,1,4,3800,3,0,0,0,40.0,Low,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=public-recruit&rec_idx=54173180&adsCategoryItem=effect_bold&
